,Pokémon,HP,Attack,Defense,Speed,Special,Total,Type,, 
105,Marowak,60,80,110,45,50,345,Ground,,
106,Hitmonlee,50,120,53,87,35,345,Fighting,,
107,Hitmonchan,50,105,79,76,35,345,Fighting,,
108,Lickitung,90,55,75,30,60,310,Normal,,
109,Koffing,40,65,95,35,60,295,Poison,,
110,Weezing,65,90,120,60,85,420,Poison,,
111,Rhyhorn,80,85,95,25,30,315,Ground,Rock,
112,Rhydon,105,130,120,40,45,440,Ground,Rock,
113,Chansey,250,5,5,50,105,415,Normal,,
114,Tangela,65,55,115,60,100,395,Grass,,
115,Kangaskhan,105,95,80,90,40,410,Normal,,
116,Horsea,30,40,70,60,70,270,Water,,
117,Seadra,55,65,95,85,95,395,Water,,
118,Goldeen,45,67,60,63,50,285,Water,,
119,Seaking,80,92,65,68,80,385,Water,,
120,Staryu,30,45,55,85,70,285,Water,,
121,Starmie,60,75,85,115,100,435,Water,Psychic,
122,Mr. Mime,40,45,65,90,100,340,Psychic,Fairy,
123,Scyther,70,110,80,105,55,420,Bug,Flying,
124,Jynx,65,50,35,95,95,340,Ice,Psychic,
125,Electabuzz,65,83,57,105,85,395,Electric,,
126,Magmar,65,95,57,93,85,395,Fire,,
127,Pinsir,65,125,100,85,55,430,Bug,,
128,Tauros,75,100,95,110,70,450,Normal,,
129,Magikarp,20,10,55,80,20,185,Water,,
130,Gyarados,95,125,79,81,100,480,Water,Flying,
131,Lapras,130,85,80,60,95,450,Water,Ice,
132,Ditto,48,48,48,48,48,240,Normal,,
133,Eevee,55,55,50,55,65,280,Normal,,
134,Vaporeon,130,65,60,65,110,430,Water,,
135,Jolteon,65,65,60,130,110,430,Electric,,
136,Flareon,65,130,60,65,110,430,Fire,,
137,Porygon,65,60,70,40,75,310,Normal,,
138,Omanyte,35,40,100,35,90,300,Rock,Water,
139,Omastar,70,60,125,55,115,425,Rock,Water,
140,Kabuto,30,80,90,55,45,300,Rock,Water,
141,Kabutops,60,115,105,80,70,430,Rock,Water,
142,Aerodactyl,80,105,65,130,60,440,Rock,Flying,
143,Snorlax,160,110,65,30,65,430,Normal,,
144,Articuno,90,85,100,85,125,485,Ice,Flying,
145,Zapdos,90,90,85,100,125,490,Electric,Flying,
146,Moltres,90,100,90,90,125,495,Fire,Flying,
147,Dratini,41,64,45,50,50,250,Dragon,,
148,Dragonair,61,84,65,70,70,350,Dragon,,
149,Dragonite,91,134,95,80,100,500,Dragon,Flying,
150,Mewtwo,106,110,90,130,154,590,Psychic,,
151,Mew,100,100,100,100,100,500,Psychic,,
